lr-AdamW,step,train_loss,train_acc,epoch,val_loss,val_acc
0.0001,0,,,,,
,49,3.5400106969874052,0.0859375,0,,
,99,2.9150383413379664,0.1875,0,,
,149,2.5587879106061373,0.2265625,0,,
,199,2.357387826985398,0.2890625,0,,
,249,2.4053679049537746,0.328125,0,,
,299,2.118724496124994,0.390625,0,,
,349,2.053762469146695,0.34375,0,,
,399,1.863934035570487,0.453125,0,,
,449,1.8100149031477288,0.40625,0,,
,499,1.943835722721803,0.4375,0,,
,549,1.6551359928068223,0.484375,0,,
,599,1.847047483513389,0.421875,0,,
,649,1.5502970289290119,0.515625,0,,
,699,1.6502035305348777,0.4921875,0,,
,749,1.5210982321515487,0.578125,0,,
,799,1.6545484444307876,0.484375,0,,
,849,1.6535718095506626,0.4921875,0,,
,899,1.380652605285272,0.59375,0,,
,949,1.3994709267862726,0.546875,0,,
,999,1.3594997463241711,0.609375,0,,
,1049,1.3978682898798194,0.5625,0,,
,1099,1.4411905942478973,0.5078125,0,,
,1149,1.2256497077605581,0.6328125,0,,
,1199,1.3448260580002003,0.546875,0,,
,1249,1.3311846826815157,0.5390625,0,,
,1299,1.1662608439755624,0.65625,0,,
,1349,1.0933896286100335,0.640625,0,,
,1399,1.4401178593226576,0.578125,0,,
,1449,1.2418653744841504,0.625,0,,
,1499,1.2006499307154008,0.6328125,0,,
,1549,1.3041606224282656,0.640625,0,,
,1599,1.3341441509340746,0.625,0,,
,1649,1.312469463549166,0.6015625,0,,
,1699,1.2591624904017826,0.6328125,0,,
,1749,1.1586770372093453,0.5859375,0,,
,1799,1.1765195597891398,0.671875,0,,
,1849,1.196527623173281,0.609375,0,,
,1899,1.2902819235606195,0.6015625,0,,
,1949,1.4457963189013536,0.5390625,0,,
,1999,1.3843843158650095,0.546875,0,,
,2049,1.5617950936707792,0.484375,0,,
,2099,1.2950409899541935,0.5390625,0,,
,2149,1.2436346876391131,0.578125,0,,
,2199,1.240525020602245,0.5703125,0,,
,2249,1.0814512376303986,0.6875,0,,
,2299,1.1660608799133083,0.6328125,0,,
,2349,1.27662901926618,0.6015625,0,,
,2399,1.047109953386742,0.640625,0,,
,2449,1.0132193778280816,0.65625,0,,
,2499,1.2425347053624378,0.6171875,0,,
,2549,1.348342367769226,0.5234375,0,,
,2599,1.4133988143430174,0.609375,0,,
,2649,1.1561765939452506,0.6171875,0,,
,2699,1.0997240742010272,0.6640625,0,,
,2749,1.0325663890653634,0.671875,0,,
,2799,1.3197922917670464,0.59375,0,,
,2849,1.0790846259175408,0.671875,0,,
,2899,1.0924018099579014,0.640625,0,,
,2949,1.1202784883230443,0.6640625,0,,
,2999,1.103510474672468,0.6171875,0,,
,3049,1.0453734475462897,0.65625,0,,
,3099,1.038905827778626,0.65625,0,,
,3149,1.107210786334838,0.6328125,0,,
,3199,1.2725138776215301,0.625,0,,
,3249,1.1730119862511093,0.640625,0,,
,3299,0.9318803527231937,0.671875,0,,
,3349,1.3994915450508718,0.546875,0,,
,3399,1.0735431088987917,0.6484375,0,,
,3449,1.0828916087345117,0.6328125,0,,
,3499,1.153860848886803,0.625,0,,
,3549,1.0062510987381175,0.65625,0,,
,3599,0.9774960175574641,0.6796875,0,,
,3649,0.939080446252978,0.6953125,0,,
,3699,0.9642871521139703,0.6875,0,,
,3749,1.0642783005851268,0.6484375,0,,
,3799,1.1664586968740143,0.703125,0,,
,3849,0.9540559405597128,0.671875,0,,
,3899,1.1024406409600442,0.65625,0,,
,3949,1.1603696478797731,0.5859375,0,,
,3999,1.2836772498186655,0.6328125,0,,
,4049,1.050303269450492,0.671875,0,,
,4099,1.1310977150648247,0.609375,0,,
,4149,0.9964725982409031,0.6875,0,,
,4199,1.0510842392882347,0.6796875,0,,
,4249,0.9751151553908619,0.671875,0,,
,4299,0.8508208075196623,0.6953125,0,,
,4349,0.9464819969194527,0.7421875,0,,
,4399,1.0953738496149,0.6953125,0,,
,4449,0.8193591134691923,0.6875,0,,
,4499,0.9764338681129914,0.6953125,0,,
,4549,0.8694033867488652,0.71875,0,,
,4599,1.0076131671689672,0.6484375,0,,
,4649,0.7730402564065914,0.7421875,0,,
,4699,0.8830885095011196,0.6796875,0,,
,4749,1.1412380852123865,0.6484375,0,,
,4799,1.0314331703493318,0.6875,0,,
,4849,1.290618477448488,0.5625,0,,
,4899,0.972248024225309,0.6953125,0,,
,4949,0.9854652300378258,0.6328125,0,,
,4999,0.9989200925216607,0.6875,0,,
,5049,0.9321898986187088,0.7265625,0,,
,5099,0.8183413689413507,0.7265625,0,,
,5149,1.015767803762006,0.7109375,0,,
,5199,0.8876270199044292,0.6796875,0,,
,5249,0.938710951308392,0.6875,0,,
,5299,0.8874575442381882,0.703125,0,,
,5349,1.0142440186124828,0.71875,0,,
,5399,1.074947513143396,0.6171875,0,,
,5449,1.1530333396444044,0.59375,0,,
,5499,1.0315118929648277,0.7109375,0,,
,5531,,,0,0.836905329287501,0.731666930285895
0.0001,5532,,,,,
,5549,0.827790821714426,0.7421875,1,,
,5599,1.0004155155842542,0.6484375,1,,
,5649,0.8721825027357373,0.6953125,1,,
,5699,0.8595570272518673,0.75,1,,
,5749,0.8697238024928535,0.7421875,1,,
,5799,1.0917925637688424,0.6953125,1,,
,5849,0.8995714005011026,0.71875,1,,
,5899,0.896498193589689,0.7109375,1,,
,5949,1.001052557271057,0.6484375,1,,
,5999,0.872671969127495,0.7265625,1,,
,6049,1.0244383585035777,0.6796875,1,,
,6099,0.7735210757718028,0.75,1,,
,6149,0.8324121787883354,0.765625,1,,
,6199,0.8162743245005502,0.7109375,1,,
,6249,0.9815518733089839,0.640625,1,,
,6299,0.8304921576528973,0.71875,1,,
,6349,1.006836723908832,0.6953125,1,,
,6399,0.8896301263566253,0.7265625,1,,
,6449,0.9835913193579962,0.6484375,1,,
,6499,1.085941221910025,0.59375,1,,
,6549,0.9622050796066921,0.6953125,1,,
,6599,0.9534218829797564,0.734375,1,,
,6649,0.7492022974378559,0.734375,1,,
,6699,0.8968019106666842,0.6875,1,,
,6749,0.8461495730355845,0.734375,1,,
,6799,0.975458132776663,0.6484375,1,,
,6849,1.0120438454603367,0.6640625,1,,
,6899,0.815439578130672,0.7578125,1,,
,6949,0.8971222982062945,0.6953125,1,,
,6999,0.7670527401115534,0.7265625,1,,
,7049,0.9354088390365063,0.6953125,1,,
,7099,0.8741406030457396,0.734375,1,,
,7149,1.0901496341136938,0.6796875,1,,
,7199,0.9409217787864166,0.7109375,1,,
,7249,0.7898279012344983,0.734375,1,,
,7299,0.7822707698786835,0.7109375,1,,
,7349,0.8276671675020417,0.6953125,1,,
,7399,0.8582293397502271,0.6953125,1,,
,7449,0.931047849850037,0.6796875,1,,
,7499,0.7555720679550276,0.75,1,,
,7549,0.9171500563835173,0.6953125,1,,
,7599,0.8335512257027841,0.703125,1,,
,7649,0.8250916992461776,0.7265625,1,,
,7699,0.9200875691111877,0.7109375,1,,
,7749,1.006937936730743,0.65625,1,,
,7799,0.9855879452434907,0.6953125,1,,
,7849,0.8746580181990222,0.703125,1,,
,7899,0.9784192509515749,0.65625,1,,
,7949,0.8547554897665895,0.6875,1,,
,7999,1.1158501146944853,0.6640625,1,,
,8049,0.9323435698688134,0.6328125,1,,
,8099,0.8587934192091486,0.6796875,1,,
,8149,0.9686042759877498,0.6328125,1,,
,8199,0.7047539454197004,0.7890625,1,,
,8249,0.8965143870051987,0.6875,1,,
,8299,1.0169991655595572,0.6796875,1,,
,8349,0.9842663808321086,0.640625,1,,
,8399,1.0055405097573744,0.6640625,1,,
,8449,0.8673539923048283,0.734375,1,,
,8499,0.8995068637086272,0.6953125,1,,
,8549,0.8340844712759863,0.7421875,1,,
,8599,0.8273991898952626,0.6953125,1,,
,8649,0.9138754972521694,0.7109375,1,,
,8699,0.8242726161609266,0.6953125,1,,
,8749,0.8875529820818779,0.734375,1,,
,8799,0.8399714968076075,0.7109375,1,,
,8849,0.6841709303244154,0.7734375,1,,
,8899,0.7861146017478505,0.703125,1,,
,8949,0.9336226773061618,0.703125,1,,
,8999,0.8097286887856475,0.703125,1,,
,9049,0.9950424314104501,0.6953125,1,,
,9099,0.9026791044945822,0.71875,1,,
,9149,0.8646804033473245,0.75,1,,
,9199,0.8183314670924161,0.734375,1,,
,9249,0.7187546805052935,0.7421875,1,,
,9299,0.9233155794572278,0.6953125,1,,
,9349,0.7775308946340035,0.7265625,1,,
,9399,0.9159971843589808,0.671875,1,,
,9449,0.6553143920127601,0.78125,1,,
,9499,0.792484184543027,0.7421875,1,,
,9549,0.7678958264729107,0.7265625,1,,
,9599,0.798238151909036,0.7265625,1,,
,9649,0.6651504922668218,0.796875,1,,
,9699,0.8182029682442101,0.6875,1,,
,9749,1.0104856557143882,0.71875,1,,
,9799,0.8311729730524134,0.6953125,1,,
,9849,0.8820071674144397,0.6875,1,,
,9899,0.9508223490829432,0.7109375,1,,
,9949,0.9810269048433138,0.6875,1,,
,9999,0.9186311675446107,0.6640625,1,,
,10049,0.7652519097707932,0.8046875,1,,
,10099,0.966286856320377,0.703125,1,,
,10149,0.740463290928127,0.734375,1,,
,10199,0.8371976694534872,0.734375,1,,
,10249,1.029739753665838,0.6484375,1,,
,10299,0.9734130614069603,0.703125,1,,
,10349,0.8964391397005729,0.7265625,1,,
,10399,1.0075505141760803,0.671875,1,,
,10449,0.9296043477388508,0.703125,1,,
,10499,0.951060626999473,0.6796875,1,,
,10549,0.7579478625676396,0.7734375,1,,
,10599,0.8053361082581184,0.734375,1,,
,10649,0.8752083015314533,0.703125,1,,
,10699,0.8659947137711347,0.71875,1,,
,10749,0.9077547484449469,0.734375,1,,
,10799,0.7383307233924258,0.6953125,1,,
,10849,0.7867886490140266,0.765625,1,,
,10899,0.8128866813574198,0.7578125,1,,
,10949,0.7325475073482597,0.734375,1,,
,10999,0.8064249416026178,0.765625,1,,
,11049,0.6967993923984833,0.7734375,1,,
,11063,,,1,0.7504092630804,0.7542162600340069
0.0001,11064,,,,,
,11099,0.8809683477950555,0.703125,2,,
,11149,0.7746881376175018,0.7109375,2,,
,11199,0.9138188854998694,0.7265625,2,,
,11249,0.8409818663773958,0.703125,2,,
,11299,0.8455497663314958,0.6953125,2,,
,11349,0.7946378302147314,0.71875,2,,
,11399,0.8529749425776706,0.7109375,2,,
,11449,0.889886765709918,0.7109375,2,,
,11499,0.8789140711141729,0.703125,2,,
,11549,0.7149864732294928,0.75,2,,
,11599,0.7865918965467197,0.734375,2,,
,11649,0.7912042259570272,0.7265625,2,,
,11699,0.7440255310166748,0.75,2,,
,11749,1.065333812932968,0.6171875,2,,
,11799,0.786757360849721,0.765625,2,,
,11849,0.8987433956744387,0.703125,2,,
,11899,0.7576187472159155,0.75,2,,
,11949,0.7617782320414442,0.703125,2,,
,11999,0.852477988025158,0.7109375,2,,
,12049,0.7917311734204211,0.71875,2,,
,12099,0.7285318058033561,0.734375,2,,
,12149,0.8544646627039193,0.7109375,2,,
,12199,0.6867257875011553,0.7890625,2,,
,12249,0.8600163026245742,0.75,2,,
,12299,0.7417517464311572,0.7578125,2,,
,12349,0.78609323342942,0.75,2,,
,12399,0.7496724625787532,0.71875,2,,
,12449,0.7885249658346861,0.734375,2,,
,12499,0.7770129122173334,0.6953125,2,,
,12549,0.8830360517532835,0.7109375,2,,
,12599,0.8035928162602671,0.6953125,2,,
,12649,0.8910834093559556,0.6640625,2,,
,12699,0.8116898484141201,0.7421875,2,,
,12749,0.6875890723508047,0.796875,2,,
,12799,0.8433287822561264,0.6484375,2,,
,12849,0.775724942137846,0.765625,2,,
,12899,0.7836166884479184,0.7421875,2,,
,12949,0.9106856006873204,0.703125,2,,
,12999,0.9250203328451713,0.6796875,2,,
,13049,0.736717563747973,0.78125,2,,
,13099,1.0318247885574083,0.6484375,2,,
,13149,0.6926662536192653,0.78125,2,,
,13199,0.7765270294388175,0.734375,2,,
,13249,0.8900250695564919,0.71875,2,,
,13299,0.6787995243618672,0.796875,2,,
,13349,0.694986247318581,0.7890625,2,,
,13399,0.9029417639428362,0.7578125,2,,
,13449,0.7880097171684259,0.7578125,2,,
,13499,0.7358306012062642,0.7421875,2,,
,13549,0.6754659281294835,0.78125,2,,
,13599,0.7158779149606217,0.75,2,,
,13649,0.7537824058760879,0.7734375,2,,
,13699,0.8366949984106002,0.6953125,2,,
,13749,0.7555261234032042,0.7578125,2,,
,13799,0.780311131675508,0.78125,2,,
,13849,0.6688328738400784,0.796875,2,,
,13899,0.7342428192382483,0.765625,2,,
,13949,0.6122299295119299,0.7578125,2,,
,13999,0.6606812908186931,0.796875,2,,
,14049,0.7977539326263503,0.734375,2,,
,14099,0.6762260025280513,0.78125,2,,
,14149,0.8595036770995154,0.703125,2,,
,14199,0.6502883556079581,0.75,2,,
,14249,0.6784292301476925,0.7734375,2,,
,14299,0.7235284914171926,0.7265625,2,,
,14349,0.8381878927024285,0.7578125,2,,
,14399,0.8974928818962311,0.6640625,2,,
,14449,0.7618419420361465,0.7109375,2,,
,14499,0.7639745544782329,0.75,2,,
,14549,0.8715079201511832,0.671875,2,,
,14599,0.9119953486551102,0.7109375,2,,
,14649,0.7799220205251518,0.75,2,,
,14699,0.7520217216245293,0.734375,2,,
,14749,0.6265365475601882,0.7890625,2,,
,14799,0.6733782171711504,0.7421875,2,,
,14849,0.7680559188767769,0.7421875,2,,
,14899,0.9934186494362183,0.6328125,2,,
,14949,0.6540412529548016,0.78125,2,,
,14999,0.753838118798216,0.75,2,,
,15049,0.8945819351141481,0.703125,2,,
,15099,0.7116811412161774,0.7578125,2,,
,15149,0.7454939447655499,0.765625,2,,
,15199,0.8106881041411957,0.734375,2,,
,15249,0.6996691959274014,0.734375,2,,
,15299,0.8135370621900926,0.71875,2,,
,15349,0.6478502615449148,0.75,2,,
,15399,0.7176648075002954,0.7578125,2,,
,15449,0.7638273848384649,0.734375,2,,
,15499,0.8983978323829641,0.7109375,2,,
,15549,0.7107455806185394,0.7578125,2,,
,15599,0.906036038570876,0.7265625,2,,
,15649,0.852272061048865,0.703125,2,,
,15699,0.7948864994825658,0.6875,2,,
,15749,0.8017053330632423,0.7109375,2,,
,15799,0.6320683158398858,0.8125,2,,
,15849,0.7961237964928167,0.71875,2,,
,15899,0.5590255356598011,0.828125,2,,
,15949,0.8197037089857624,0.703125,2,,
,15999,0.6453443042664287,0.765625,2,,
,16049,0.7713871103994389,0.7109375,2,,
,16099,0.7337427256504298,0.7734375,2,,
,16149,0.782711281497957,0.6953125,2,,
,16199,0.7577298312020658,0.7578125,2,,
,16249,0.7419135353457007,0.7265625,2,,
,16299,0.746810781242416,0.7578125,2,,
,16349,0.7669505178990965,0.734375,2,,
,16399,0.7507287259724956,0.75,2,,
,16449,0.7940562054585639,0.7578125,2,,
,16499,0.8356988953758994,0.7578125,2,,
,16549,0.7971231334075625,0.7578125,2,,
,16595,,,2,0.86511737511451,0.7168877772944758
0.0001,16596,,,,,
,16599,0.7672778745302785,0.75,3,,
,16649,0.8290100836445802,0.765625,3,,
,16699,0.8085586151322622,0.78125,3,,
,16749,0.9090366056057541,0.703125,3,,
,16799,0.9300585042951832,0.6640625,3,,
,16849,0.9364227588581008,0.703125,3,,
,16899,0.8021863935246792,0.7265625,3,,
,16949,0.8668837552138609,0.6953125,3,,
,16999,0.757992395302993,0.7421875,3,,
,17049,0.7034562067431898,0.765625,3,,
,17099,0.6216468483103645,0.7734375,3,,
,17149,0.6349667478995269,0.796875,3,,
,17199,0.9026113574063205,0.71875,3,,
,17249,0.8439523807576487,0.75,3,,
,17299,0.9423129337623054,0.6875,3,,
,17349,0.7837841803277091,0.75,3,,
,17399,0.5883275797449019,0.7890625,3,,
,17449,0.7165969864962586,0.765625,3,,
,17499,0.672402974231419,0.8046875,3,,
,17549,0.70448981667093,0.796875,3,,
,17599,0.7266945878773599,0.71875,3,,
,17649,0.6587783661980579,0.7890625,3,,
,17699,0.7760426488182867,0.765625,3,,
,17749,0.9355519244256969,0.65625,3,,
,17799,0.617780960160538,0.7890625,3,,
,17849,0.8723113705980189,0.75,3,,
,17899,0.641293060288098,0.828125,3,,
,17949,0.7840751917798015,0.734375,3,,
,17999,0.7864001533584858,0.75,3,,
,18049,0.7124784556501824,0.8203125,3,,
,18099,0.7920121808176204,0.7734375,3,,
,18149,0.7876247507978951,0.7265625,3,,
,18199,0.7927158734117719,0.75,3,,
,18249,0.8445293486952231,0.71875,3,,
,18299,0.6598496754801051,0.78125,3,,
,18349,0.569323559228235,0.7890625,3,,
,18399,0.6844696955090711,0.7734375,3,,
,18449,0.7752975746361522,0.7421875,3,,
,18499,0.7581720690576924,0.71875,3,,
,18549,0.7875308475705526,0.71875,3,,
,18599,0.7013010794023926,0.7734375,3,,
,18649,0.792044519607735,0.71875,3,,
,18699,0.6408905010895433,0.78125,3,,
,18749,0.7722630569559735,0.734375,3,,
,18799,0.7192414449156153,0.75,3,,
,18849,0.8296785454518824,0.703125,3,,
,18899,0.637932369962157,0.8125,3,,
,18949,0.6921092228428625,0.78125,3,,
,18999,0.7800147435101208,0.734375,3,,
,19049,0.7571900921481857,0.7734375,3,,
,19099,0.8089719002102358,0.734375,3,,
,19149,0.6425363266162516,0.7734375,3,,
,19199,0.6786893679854803,0.78125,3,,
,19249,0.9294957093794685,0.734375,3,,
,19299,0.8049176204500317,0.7109375,3,,
,19349,0.7259568917349145,0.75,3,,
,19399,0.728352225951163,0.765625,3,,
,19449,0.8794105733726175,0.6796875,3,,
,19499,0.7489171860252984,0.765625,3,,
,19549,0.7116482511156583,0.765625,3,,
,19599,0.8307877007253882,0.6640625,3,,
,19649,0.748446763930095,0.7578125,3,,
,19699,0.5234884961933127,0.8046875,3,,
,19749,0.579779261887919,0.8359375,3,,
,19799,0.7281400354579128,0.7734375,3,,
,19849,0.6833425289775166,0.7421875,3,,
,19899,0.6347624497413077,0.8046875,3,,
,19949,0.7795945905370666,0.7421875,3,,
,19999,0.456559397640594,0.8203125,3,,
,20049,0.5978638969233266,0.7734375,3,,
,20099,0.7348385674606346,0.7734375,3,,
,20149,0.6786488597447898,0.7890625,3,,
,20199,0.698319052515273,0.8046875,3,,
,20249,0.6615123131821091,0.8359375,3,,
,20299,0.6925012838344881,0.7734375,3,,
,20349,0.6287323168178538,0.828125,3,,
,20399,0.8202380628725986,0.7578125,3,,
,20449,0.8006756951484939,0.7578125,3,,
,20499,0.7769995893681201,0.7578125,3,,
,20549,0.6044959217202053,0.765625,3,,
,20599,0.5767288054002088,0.8515625,3,,
,20649,0.8667684897729917,0.75,3,,
,20699,0.7218233673673753,0.765625,3,,
,20749,0.7211291858978872,0.7578125,3,,
,20799,0.6702863944569079,0.7734375,3,,
,20849,0.5676721829315048,0.8359375,3,,
,20899,0.7763792769348862,0.765625,3,,
,20949,0.7113480070754788,0.765625,3,,
,20999,0.6261001821074518,0.7734375,3,,
,21049,0.9399385186312816,0.6796875,3,,
,21099,0.7431965271517592,0.75,3,,
,21149,0.6632978697387,0.7890625,3,,
,21199,0.7343732942669107,0.7734375,3,,
,21249,0.9209875673927984,0.7265625,3,,
,21299,0.6311177489346902,0.8203125,3,,
,21349,0.9015899535278745,0.6953125,3,,
,21399,0.7362497697657303,0.75,3,,
,21449,0.7526771380645924,0.796875,3,,
,21499,0.7785678614121025,0.75,3,,
,21549,0.8818431766455398,0.734375,3,,
,21599,0.7229559241917454,0.765625,3,,
,21649,0.8133479793649165,0.7578125,3,,
,21699,0.7761720902057936,0.765625,3,,
,21749,0.7873528338935004,0.7265625,3,,
,21799,0.6955584077864345,0.7578125,3,,
,21849,0.7422248986197904,0.78125,3,,
,21899,0.8391431606347255,0.6953125,3,,
,21949,0.5440945909219883,0.8359375,3,,
,21999,0.9978890859607046,0.6796875,3,,
,22049,0.7967588748024309,0.734375,3,,
,22099,0.6401972707191127,0.8125,3,,
,22127,,,3,0.9763987131122077,0.689899758788406
0.0001,22128,,,,,
,22149,0.5799657930765115,0.8125,4,,
,22199,0.7470845207076214,0.765625,4,,
,22249,0.5687362175799398,0.84375,4,,
,22299,0.6850540562609185,0.7578125,4,,
,22349,0.6764779031659351,0.765625,4,,
,22399,0.7257074789123105,0.7421875,4,,
,22449,0.7663933084829063,0.703125,4,,
,22499,0.7314051102122383,0.796875,4,,
,22549,0.5663962960412097,0.8359375,4,,
,22599,0.565115379220134,0.796875,4,,
,22649,0.6422746832076194,0.7421875,4,,
,22699,0.7518792136195355,0.7734375,4,,
,22749,0.7272519102151928,0.75,4,,
,22799,0.7189620657320598,0.765625,4,,
,22849,0.7270202904624642,0.7890625,4,,
,22899,0.6208317407689775,0.8046875,4,,
,22949,0.7203351107399625,0.796875,4,,
,22999,0.6548211190955925,0.796875,4,,
,23049,0.6211545458470107,0.8125,4,,
,23099,0.659693853822131,0.75,4,,
,23149,0.7153679303560861,0.8125,4,,
,23199,0.6891407760770255,0.7734375,4,,
,23249,0.6220700230220579,0.7734375,4,,
,23299,0.48532967088224616,0.828125,4,,
,23349,0.7416829524204829,0.7265625,4,,
,23399,0.723074895062616,0.7421875,4,,
,23449,0.743285822350917,0.78125,4,,
,23499,0.7114018138049149,0.71875,4,,
,23549,0.6829847467332587,0.75,4,,
,23599,0.8461977264440087,0.7109375,4,,
,23649,0.6446596336903908,0.84375,4,,
,23699,0.655623144976308,0.796875,4,,
,23749,0.8030115613673927,0.71875,4,,
,23799,0.6990239796159167,0.765625,4,,
,23849,0.7639336489038113,0.7578125,4,,
,23899,0.7004513941220276,0.765625,4,,
,23949,0.7669062358080345,0.765625,4,,
,23999,0.7102875402263341,0.765625,4,,
,24049,0.710737948717807,0.765625,4,,
,24099,0.8002883012948497,0.734375,4,,
,24149,0.7821728205829277,0.7578125,4,,
,24199,0.6590059421248952,0.7734375,4,,
,24249,0.6141267539135005,0.828125,4,,
,24299,0.7456027818990798,0.7890625,4,,
,24349,0.5798983991882911,0.7890625,4,,
,24399,0.722453961989002,0.796875,4,,
,24449,0.8140554908073583,0.7109375,4,,
,24499,0.7624563618453872,0.7421875,4,,
,24549,0.8347569894100075,0.703125,4,,
,24599,0.6818625241616776,0.7578125,4,,
,24649,0.6166776924833611,0.796875,4,,
,24699,0.76806977399363,0.75,4,,
,24749,0.7788655446630672,0.75,4,,
,24799,0.7485898393025471,0.7421875,4,,
,24849,0.7345580773599033,0.75,4,,
,24899,0.6727580737577386,0.765625,4,,
,24949,0.5725485379472841,0.828125,4,,
,24999,0.6314275177236309,0.7890625,4,,
,25049,0.6552102892764838,0.765625,4,,
,25099,0.7577726702695502,0.7734375,4,,
,25149,0.810735095068245,0.7421875,4,,
,25199,1.0098855467410408,0.65625,4,,
,25249,0.5876266127041164,0.78125,4,,
,25299,0.5219178979608089,0.8515625,4,,
,25349,0.7726600376536135,0.7734375,4,,
,25399,0.6360683646408907,0.8046875,4,,
,25449,0.6652644731943714,0.765625,4,,
